Хирагана,Сочетания　や,Сочетания　ゆ,Сочетания　よ,Пример хирагана,Катакана,Звук,Пример катакана
あ,,,,,ア,a,
い,,,,,イ,I,
う,,,,,ウ,u,
え,,,,,エ,e,
お,,,,,オ,o,
か,,,,,カ,ka,
き,きゃ,きゅ,きょ,,キ,ki,
く,,,,,ク,ku,
け,,,,,ケ,ke,
こ,,,,,コ,ko,
さ,,,,,サ,sa,
し,しゃ,しゅ,しょ,,シ,shi,
す,,,,,ス,su,
せ,,,,,セ,se,
そ,,,,,ソ,so,
た,,,,,タ,ta,
ち,ちゃ,ちゅ,ちょ,,チ,chi,
つ,,,,,ツ,tsu,
て,,,,,テ,te,
と,,,,,ト,to,
な,,,,,ナ,na,
に,にゃ,にゅ,にょ,,ニ,ni,
ぬ,,,,,ヌ,nu,
ね,,,,,ネ,ne,
の,,,,,ノ,no,
は,,,,,ハ,ha,
ひ,ひゃ,ひゅ,ひょ,,ヒ,hi,
ふ,,,,,フ,fu,
へ,,,,,へ,he,
ほ,,,,,ホ,ho,
ま,,,,,マ,ma,
み,みゃ,みゅ,みょ,,ミ,mi,
む,,,,,ム,mu,
め,,,,,メ,me,
も,,,,,モ,mo,
や,,,,,ヤ,ya,
ゆ,,,,,ユ,yu,
よ,,,,,ヨ,yo,
ら,,,,,ラ,ra,
り,りゃ,りゅ,りょ,,リ,ri,
る,,,,,ル,ru,
れ,,,,,レ,re,
ろ,,,,,ロ,ro,
わ,,,,,ワ,wa,
を,,,,,ヲ,wo,
ん,,,,,ン,n,
が,,,,,ガ,ga,
ぎ,ぎゃ,ぎゅ,ぎょ,,ギ,gi,
ぐ,,,,,グ,gu,
げ,,,,,ゲ,ge,
ご,,,,,ゴ,go,
ざ,,,,,ザ,za,
じ,じゃ,じゅ,じょ,,ジ,ji,
ず,,,,,ズ,zu,
ぜ,,,,,ゼ,ze,
ぞ,,,,,ゾ,zo,
だ,,,,,ダ,da,
ぢ,ぢゃ,ぢゅ,ぢょ,,ヂ,zi,
づ,,,,,ヅ,zu,
で,,,,,デ,de,
ど,,,,,ド,do,
ば,,,,,バ,ba,
び,びゃ,びゅ,びょ,,ビ,bi,
ぶ,,,,,ブ,bu,
べ,,,,,べ,be,
ぼ,,,,,ボ,bo,
ぱ,,,,,パ,pa,
ぴ,ぴゃ,ぴゅ,ぴょ,,ピ,pi,
ぷ,,,,,プ,pu,
ぺ,,,,,ぺ,pe,
ぽ,,,,,ポ,po,