項目,言葉,読み方,翻訳,例,例の翻訳,,内容の読み,同,同の読み方,対,対の読み方,
時間・時,かつて,,,かつてはこの町も栄えていました。,,,,,,,,
,先程,さきほど,,先程荷物が届きました。,,,,,,,,
,現在,げんざい,,現在、日本は午後8時です。,,,,,,,,
,過去,かこ,,,,,,,,,,
,未来,みらい,,,,,,,,,,
,ただ今,ただいま,,<電話>佐藤はただ今席を外しております。,,,,,,,,
,至急,しきゅう,,至急、お返事ください。/ 大至急、電話をください。,,,,,,,,
,今のところ,いまのところ,,今のところ、予定の変更はないようです。,,,,,,,,
,今にも,いまにも,,今にも降り出しそう。早く帰ろう。,,,,,,,,
,じき(に),,,「まだ降ってるね」「じきにやむでしょう」,,,,,,,,
,いよいよ,,,いよいよ、明日で卒業ですね。,,,,,,,,
,近頃,ちかごろ,,近頃の若者は、そんなことも知らないのか。,,,,,,,,
,近々,ちかぢか,,これのチョコレート味が、近々発売されるようです。,,,,,,,,
,やがて,,,薬を飲んで寝ていれば、やがて熱も下がるでしょう。,,,,,,,,
,いずれ,,,真実はいずれ明らかになるだろう。,,,,,,,,
,そのうち(に),,,そのうちまた会いましょう。,,,,,,,,
,いつまでも,,,日本での生活はいつまでも忘れません。いつまでも寝てないで、早く起きなさい。,,,,,,,,
,永久,えいきゅう,,ここの海の美しさは永久にかわらないでほしい。,,,,,,,,
,四季,しき,,四季の変化を楽しめるのが、ここの魅力です。,,,,,,,,
,月日,つきひ,,月日が過ぎるのは、早いものですね。,,,,,,,,
,年月,ねんげつ◇としつき,,薬の開発に、10年という長い年月がかかった。,,,,,,,,
,本日,ほんじつ,,<宣伝>本日のサービス品,,,,,,,,
,節目,ふしめ,,人生の節目、節目を迎える。,,,,,,,,
,挨拶,あいさつ,,会議の挨拶、就任の挨拶。明日、ご挨拶を伺います。,,,,,,,,
,区切り,くぎり,,,,,,,,,,
,前の〜,まえの,,前の日は早目に寝たほうがいいよ。前の年は海外に一度も行っていない。,,,,,,,,
,前〜,ぜん,,前日、前年、前回。,,,,,,,,
,翌年,よくねん,,大会の翌年には、彼はプロとして活躍を始めた。,,,,,,,,
,〜末,まつ,,今月末、来週末、年末。,,,,,,,,
,半ば,なかば,,来週半ば、5月半ば。,,,,,,,,
,〜過,すぎ,,帰りは7時過になると思う。今、2時5分過です。,,,,,,,,
,後(に),のち(に),,後にその良さが認められ、広く使われるようになった。,,,,,,,,
,直後,ちょくご,,帰国した直後に、その知らせを聞きました。,,,,,,,,
,以後,いご,,申し訳ありませんでした。以後、気をつけます。,,,,,,,,
,当日,とうじつ,,大会当日は、正面玄関に9時に集合してください。,,,,,,,,
,当時,とうじ,,ここが、当時、僕が住んでいた学生寮です。,,,,,,,,
,折,おり,,出張の折には大変お世話になりました。転職のことは、折を見て親に話そうと思う。,,,,,,,,
,チャンス,,,チャンスをつかむ、チャンスを逃す。,,,,,,,,
,きっかけ,,,友達に薦められて聞いたのがきっかけで、彼らのファンになりました。,,,,,,,,
,瞬間,しゅんかん,,車と車がぶつかった瞬間を見た。,,,,,,,,
,最中,さいちゅう,,試験の最中に停電が起きた。,,,,,,,,
,西暦,せいれき,,,,,,,,,,
,年代,ねんだい,,70代のロック。,,,,,,,,
,原子,げんし,,原子的なやり方、原始人。,,,,,,,,
,近代,きんだい,,近代の日本文学を研究しています。,,,,,,,,
,日時,にちじ,,日時と場所は、決まり次第、お知らせします。,,,,,,,,
,日中,にっちゅう,,日中は暖かいですが、夜は寒くなるでしょう。,,,,,,,,
,終日,しゅうにち,,店内は終日禁煙です。,,,,,,,,
,昼間,ひるま,,昼間は働いて、夜、学校に行っています。,,,,,,,,
,夜間,やかん,,夜間は、電気料金が割引になります。,,,,,,,,
,深夜,しんや,,,,,,,,,,
,夜が開ける,よがあける,,,,,,,,,,
,夜明け,よあけ,,,,,,,,,,
,明け方,あけかた,,父が出かけたのは、開け方の５時頃です。,,,,,,,,
,元日,ガンじつ,,「一月一日」のこと。,,,,,,,,
,祝日,しゅくじつ,,法律で決められた国の休みの日。,,,,,,,,
,祭日,さいじつ,,神社などで伝統的な行事が行われる日。俗に、「祝日」のこと。,,,,,,,,
,上旬,じょうじゅん,,8月上旬に発売の予定です。「初旬」,,,,,,,,
,中旬,ちゅうじゅん,,,,,,,,,,
,下旬,げじゅん,,,,,,,,,,
,暮れ,くれ,,毎年、暮れに実家に帰ります。,,,,,,,,
,年中,ねんじゅう,,弟は年中ジーパンをはいている。,,,,,,,,
,日頃,ひごろ,,日頃の例に、食事でもおごらせてください。,,,,,,,,
,普段,ふだん,,普段運動しないから、ちょっと走るだけで息が切れる。,,,,,,,,
,臨時,りんじ,,臨時休業、臨時バス。,,,,,,,,
,延長,えんちょう,,会議を１時間延長することにした。,,,,,,,,
,年度,ねんど,,うちの会社では、今月から新しい年度に変わりました。,,,,,,,,
家族,親,おや,,昔は親に心配ばかりかけていました。,,,,,,,,
,父親,ちちおや,,父親の役割,,,,,,,,
,母親,ははおや,,彼は母親の愛情を知らずに育ったんです。,,,,,,,,
,一家,いっか,,林さん一家とは長い付き合いです。こういう便利な物だったら、一家に一台は欲しいね。,,,,,,,,
,嫁,よめ,,こんなきれいな人が息子のお嫁さんになってくれるなんて。嫁に行く。,,,,,,,,
,花嫁,はなよめ,,花嫁とご両親の三人で写真を撮りましょう。,,,,,,,,
,花息子,はなむすこ,,,,,,,,,,
,夫妻,ふさい,,林夫妻は少し遅れてくるって言ってたよ。,,,,,,,,
,夫人,ふじん,,まりこ夫人も一緒に来るそうです。,,,,,,,,
,奥様,おくさま,,これから社長の奥様がいらっしゃるそうです。,,,,,,,,
,婚約(する),けっこん(する),,「あの二人、婚約したみたいですね」「へえ、やっぱり婚約するんだ。式はいつ挙げるのかな?」,,,,,,,,
,妊娠(する),にんしん(する),,,,,,,,,,
,出産(する),しゅっさん(する),,彼女は年内に出産する予定です。出産お祝い。,,,,,,,,
,育児,いくじ,,育児休暇、育児に役立つ本、育児に疲れる。,,,,,,,,
,双子,ふたご,,,,,,,,,,
,〜連れ,づれ,,動物園は、家族連れの客で賑わっていた。子供連れの客。,,,,,,,,
人,幼い,おさない,,こんな幼い子に一人で留守番をさせるなんて、かわいそう。,,,,,,,,
,坊ちゃん,ぼっちゃん,,隣の坊ちゃん、春から小学生にんるそうよ。,,,,,,,,
,世代,せだい,,若い世代、世代交代。,,,,,,,,
,成人,せいじん,,成人式。,,,,,,,,
,未成年,みせいねん,,未成年にお酒を売ることは、法律で禁じられている。,,,,,,,,
,老人,ろうじん,,,,,,,,,,
,寿命,じゅみょう,,平均寿命。,,,,,,,,
,亡くなる,なくなる,,お世話になった先生が亡くなったと聞いて、びっくりした。,,,,,,,,
,亡くす,なくす,,あのかたは、去年、ご主人を亡くしたそうです。,,,,,,,,
,人生,じんせい,,,,,,,,,,
,本人,ほんにん,,本人に直接聞いてみます。,,,,,,,,
,自身,じしん,,彼自身、自分がどんな仕事をしたいのか、よくわかっていなかった。,,,,,,,,
,自ら,みずから,,社長自ら新しいプロジェクトの説明を始めた。,,,,,,,,
,者,もの,,すみません、先程お電話した者ですが・・・・・。強い者が勝つのではない。勝った者が強いのだ。,,,,,,,,
,人物,じんぶつ,,彼は風景を描くことが多く、人物を描くのは珍しい。,,,,,,,,
,美人,びじん,,,,,,,,,,
,人込み,ひとごみ,,人込みは苦手です。,,,,,,,,
,大衆,たいしゅう,,大衆文化、大衆食堂。,,,,,,,,
人と人,目上,,,目上の人には言葉使いに気をつけてください。,,,,,,,,
,敬う,,,相手を敬う気持ちが大切です。,,,,,,,,
,恩,,,先生に受けた恩は一生忘れません。,,,,,,,,
,気を遣う,,,「何かお飲みになりますか」「いえ、結構です。どうぞ気を使わないでください」,,,,,,,,
,気が合う,,,あの二人は気が会うんでしょうね。いつも一緒にいる。,,,,,,,,
,友,,,私にとって彼は、友であり、また、よきライバルでもあった。,,,,,,,,
,友情,,,今回のことで、二人の友情は更に深まった。,,,,,,,,
,友好,,,私の町は中国のある街と友好関係を結んでいる。,,,,,,,,
,付き合う,,,スーツを買う魔は初めてなので、兄を付き合ってもらった。あの二人は付き合っているらしい。,,,,,,,,
,付き合い,,,付き合いで飲みに行く。,,,,,,,,
,信用(する),,,信用を得る、信用を失う。信用を高める、信用を落とす。,,,,,,,,
,信頼(する),,,相手と信頼関係を築く。,,,,,,,,
,契約(する),,,まだ正式には契約をしていない。契約書。,,,,,,,,
,裏切る,,,友達を裏切るようなことはしません。,,,,,,,,
,救う,,,不幸な動物たちを救うのが、活動の目的です。,,,,,,,,
,援助,,,この店を始める時、親に少し援助してもらいまして。,,,,,,,,
,励ます,,,周りのみんなに励まされて、今まで頑張ってこられた。,,,,,,,,
,慰める,,,私が元気がない時は、彼女がいつも慰めてくれました。,,,,,,,,
,おかげ,,,今回優勝できたのは、コーチのおかげです。,,,,,,,,
,お互い(に),,,お互いに納得するまで、よく話し合ってください。,,,,,,,,
,助け合う,,,みんなで助け合って、生きていってほしい。,,,,,,,,
,共同,,,友達と会社を共同経営することにしました。,,,,,,,,
,競う,,,技を競う、美を競う。,,,,,,,,
,競争(する),,,企業間の競争。,,,,,,,,
,対立(する),,,バンドの方針について、メンバーの間で意見が対立している。,,,,,,,,
,反抗(する),,,うちの息子は何を言っても、すぐ反抗するんです。,,,,,,,,
,薦める,,,先生に勧められた本を買って読んでみた。,,,,,,,,
,誘う,,,友達を映画に誘ったけど、断られた。,,,,,,,,
,連れる,,,友達も連れて行っていいですか。,,,,,,,,
,だます,,,怪しい広告だなあ。騙されないように気をつけて。,,,,,,,,
,傷つける,,,私ま余計な一言が、彼女を傷つけたみたいです。,,,,,,,,
,詫びる,,,丁寧に詫びた方がいいと思うよ。詫び状(=お詫びの手紙)。ご迷惑をおかけしたことを深くお詫び申し上げます。,,,,,,,,
,面会,,,知事との面会が許された。,,,,,,,,
,見舞い,,,入院している友達のお見舞いに行った。,,,,,,,,
,集まり,,,毎週金曜日は、サークルの集まりがあります。,,,,,,,,
,会合,,,三つの大学の関係者が集まって、会合が開かれた。,,,,,,,,
,再会,,,こんなところで高校時代の友達と再会するとは思わなかった。,,,,,,,,
,別れる,,,友達と駅で別れて、私はバスに乗った。彼女と別れて1年も経ったのにまだ忘れられない。,,,,,,,,
,愛情,,,子供に対する愛情、深い愛情。,,,,,,,,
,かわいがる,,,彼女はその猫をとてもかわいがっていました。,,,,,,,,
,甘やかす,,,最近、子供を甘やかす親が増えている。,,,,,,,,
,しつけ,,,うちの父親はしつけが厳しかったです。,,,,,,,,
,同級生,,,,,,,,,,,
,クラスメート,,,,,,,,,,,
,ルームメイト,,,,,,,,,,,
食べ物・料理,食物,しょくもつ,,食物アレルギー,,,,,,,,
,食糧,,,少しでも、食糧不足に苦しむ人たちを救いたい。,,,,,,,,
,果実,,,果実酒。,,,,,,,,
,飯,,,今、そんな話をするなよ。飯がまずくなる。,,,,,,,,
,餅,,,,,,,,,,,
,かび,,,あっ、このパン、かびが生えてる。,,,,,,,,
,スイカ,,,,,,,,,,,
,アイスキャンディ,,,,,,,,,,,
,冷凍(する),,,冷凍食品。,,,,,,,,
,自炊,,,一人暮らしをしてから自炊をするようになった。,,,,,,,,
,まな板,,,,,,,,,,,
,大さじ,,,さとうを大さじ一杯入れてください。,,,,,,,,
,小さじ,こさじ,,,,,,,,,,
,器,,,サラダを入れる器がない。あの社長には、気の大きさを感じる。,,,,,,,,
,丼,どんぶり,,丼の中には、魚や貝がたっぷりと入っていました。,,,,,,,,
,ストロー,,,,,,,,,,,
,献立,,,寮では、一ヶ月の夕飯の献立が表になっています。,,,,,,,,
,お変わり(する),,,「コーヒのおかわりは?」「じゃ、いただきます」,,,,,,,,
家具・家電・家庭用品,引き出し,,,はさみは、机の一番上の引き出しに入っています。,,,,,,,,
,たんす,,,たんすの引き出しの奥から懐かしい服が出てきた。,,,,,,,,
,座布団,,,,,,,,,,,
,電球,,,電球が切れたから、買ってこないと。,,,,,,,,
,蛍光灯,,,,,,,,,,,
,暖房,,,その部屋は暖房あまり効いてなくて、寒かった。,,,,,,,,
,ミシン,,,ここ、壊れたんですか。じゃ、私がミシンをかけてあげますよ。,,,,,,,,
,炊飯器,,,,,,,,,,,
,ごみ袋,,,,,,,,,,,
毎日の生活,起床(する),,,研修中は６時起床する。,,,,,,,,
,就寝(する),,,病院では就寝する時間が決まっています。,,,,,,,,
,寝坊(する),,,明日、寝坊したら起こしてね。,,,,,,,,
,歯磨き,,,,,,,,,,,
,朝刊,,,,,,,,,夕刊,,
,髪をとかす,,,寝坊したから、髪を溶かす時間もなかった。,,,,,,,,
,香水,,,,,,,,,,,
,(お)出掛け(する),,,「どちらにお出掛けですか」「ちょっとお花見に」,,,,,,,,
,レジ袋,,,,,,,,,,,
,炊事(する),,,,,,,,,,,
,洗い物,,,料理は妻で、洗い物は私がやっています。また、洗い物が溜まってる。,,,,,,,,
,生ごみ,,,,,,,,,,,
,くず,,,くずいれ、くずかご、パンくず,,屑,,,,,,
,紙くず,,,,,,,,,,,
,掃く,はく,,床は、簡単にほうきで掃いてから雑巾で拭いてください。,,,,,,,,
,片付く,,,今の仕事が片付いたら、ちょっと旅行に行くつもりです。,,,,,,,,
,昼寝(する),,,,,,,,,,,
,休息(する),,,練習熱心なのはいいけど、週に一日は休息日が必要だよ。,,,,,,,,
,休養(する),,,彼女は治療のため、半年ほど休養をとるそうです。,,,,,,,,
,のんびりする,,,たまには温泉にでも行って、のんびりしたい。,,,,,,,,
,余暇,,,余暇の過ごし方,,,,,,,,
,日課,,,朝、公園までジョギングするのが日課です。,,,,,,,,
交通・移動,交通機関,,,大雨により、交通機関にも影響が出始めた。,,,,,,,,
,私鉄,,,JR、私鉄ともに、平常通りの運転です。,,,,,,,,
,ジェット機,,,自家用ジェット機。,,,,,,,,
,時速,,,時速50キロで走る。,,,,,,,,
,道路,,,この辺は道路ばかりで、空気があまり綺麗じゃない。,,,,,,,,
,横断歩道,,,横断歩道があるところを渡りましょう。,,,,,,,,
,ガードレール,,,,,,,,,,,
,信号,,,あ、信号が青になってる。渡っちゃおう。,,,,,,,,
,標識,,,あの灯篭標識、何て書いてあるか見える?,,,,,,,,
,十字路,,,そこの十字路を左に曲がってください。,,,,,,,,
,Uターン(する),,,おかしいな。道を間違えたみたいだ。Uターンしよう。◇この道は狭いから、Uターン出来ない。,,,,,,,,
,通行止め,,,この先は工事で通行止めになっている。,,,,,,,,
,回り道(する),,,ちょっとぐらい回り道してもいいですよ。のんびり行きましょう。,,,,,,,,
,遠回り(する),,,そっちから行くと遠回りになるよ。◇遠回りにはなりますが、渋滞がないのでこっちから行きます。,,,,,,,,
,道順,,,今、駅にいるんですが、そちらまでの道順を教えていただけますか。,,,,,,,,
,徒歩,,,駅から徒歩５分。,,,,,,,,
,助手席,,,,,,,,,,,
,急ブレーキ,,,安全のため、急ブレーキを踏む場合もあります。,,,,,,,,
,車輪,,,自転車の車輪にスカートがひっかかってしまった。,,,,,,,,
,時刻表,,,,,,,,,,,
,ラッシュ,,,通勤ラッシュ,,,,,,,,
,車掌,,,この電車で行けるのかなあ。あそこに車掌さんがいるから聞いてみよう。,,,,,,,,
,吊り革,,,急ブレーキを踏むことがあるから、吊革につかまっていたほうがいいよ。,,,,,,,,
,乗車券,,,<車掌>乗車券を拝見します。,,,,,,,,
,通過(する),,,次の急行列車は、当駅を通過します。,,,,,,,,
,乗り越す,,,乗り越しした分を精算しないと。,,,,,,,,
,乗り過ごす,,,本に夢中になっていて、うっかり乗り過ごしてしまった。,,,,,,,,
,乗り継ぐ,,,新幹線じゃなくても、電車を上手く乗り継げば、さんなに時間かからないですよ。,,,,,,,,
,脱線(する),,,カーブでスピードを落とさないと、脱線することもあり得る。,,,,,,,,
,人通り,,,駅前はやっぱり人通りが多いね。,,,,,,,,
,行き来,ゆきき/いきき,,お互いの家を行き来するうちに、自然と結婚について考えるようになりました。,,,,,,,,
,行き帰り,,,最近は運動不足で、会社の行き帰りにちょっと歩くだけです。,,,,,,,,
,訪れる,,,この工場には、時々、外国の方も見学に訪れる。,,,,,,,,
,引き返す,,,<車の中>大変! 財布を忘れたみたい。引き返してもらえる?,,,,,,,,
,通りかかる,,,おばあさんが倒れていのを通りかかった男性が見つけて、すぐ救急車を呼んだそうです。◇その店の前を通りかかると、中から陽気な音楽が聞こえてきた。,,,,,,,,
,横切る,,,目の前を鳥が横切ってびっくりした。,,,,,,,,
,すれ違う,,,「林さんは2、3分前に帰ったところだよ」「え、じゃ、どこかですれ違ったんだ。残念」,,,,,,,,
,前進(する),,,風が強くて、なかなか前進できない。,,,,,,,,
,移る,,,ここ、うるさいから、向こうの席に移ろう。◇子供の風邪が移ったみたいだ。,,,,,,,,
,留まる,,,もう少しここに止まっていたけど、もう行かないと。,,,,,,,,
,寄る,,,あと５分か・・・・・。郵便局に寄るつもりだったけど、無理だな。,,,,,,,,
,寄せる,,,荷物をもうちょっと壁に寄せてくれる?◇今回の調査には、多くの研究者が関心を寄せている。,,,,,,,,
,近寄る,,,コット近寄ってよくみて。それ、虫じゃないみたいなんだよ。,,,,,,,,
,接近(する),,,台風12号は、今夜にも九州に接近する見込みです。,,,,,,,,
,どく,,,そこにいると通れないから、ちょっとどいてください。,,,,,,,,
,どける,,,邪魔だから、ちょっとこの箱、どけてくれない?,,,,,,,,
,ずらす,,,都合が悪くなったので、歯医者の予約を１時ずらしてもらった。◇ここに置くと邪魔になるから、ちょっとずらそう。,,,,,,,,
,それる,,,シュートをしたけど、ちょっと上にそれてしまった。◇話はちょっとそれてしまったけど、要するに反対だということです。,,,,,,,,
,よける,,,あの人、すごいいきおいで走ってくるから、よけられなくてぶつかちゃったよ。,,,,,,,,
,出入り,でいり/ではいり,,ここは人の出入りが激しいから、裏から荷物を入れましょう。,,,,,,,,
,持ち込む,,,<飛行機で>このバッグは大きいすぎて、機内に持ち込むことができなかった。,,,,,,,,
,持ち込み,,,会場内への飲み物持ち込みは禁じられています。,,,,,,,,
,上京(する),,,私は高校卒業と同時に上京しました。,,,,,,,,
,行方,,,現在も、犯人の行方はわかっていない。◇行方不明。,,,,,,,,
建物・施設・部屋,設計(する),,,この劇場は、有名な建築家が設計したそうだ。,,,,,,,,
,建てる,,,このお寺は約800年前に建てられたそうです。,,,,,,,,
,新築,,,<不動産屋で>新築か、なるべく新しいところがいいんですが。,,,,,,,,
,ワンルームマンション,,,ワンルームマンションなので、テレビもベッドも全部、同じ部屋におります。,,,,,,,,
,団地,,,住んでいた団地には、同じくらいの年の子がたくさんいました。,,,,,,,,
,住宅,,,この辺には住宅ばかりで、ほかに何もありません。◇住宅街、住宅ローン。,,,,,,,,
,住居,,,,,,,,,,,
,家屋,,,この町には伝統的な日本家屋が多く残っている。,,,,,,,,
,設備,,,エレベーターや駐車場などの設備も、マンションを選ぶときのポイントです。,,,,,,,,
,物置,,,しばらく使いそうもない物は物置に入れておこう。,,,,,,,,
,倉庫,,,,,,,,,,,
,車庫,,,車庫には、車のほか、自動車も2台置いています。,,,,,,,,
,小屋,,,あんなところに山小屋がある。ちょっと行ってみよう。,,,,,,,,
,温室,,,この温室では、イチゴを作っています。,,,,,,,,
,和室,,,このホテルには、和室と洋室、両方ある。,,,,,,,,
,洋室,,,,,,,,,,,
,座敷,,,座敷とテーブルの席と、どっちにする?,,,,,,,,
,ふすま,,,ふすまを閉めるときは静かにお願いします。,,襖,,,,,,
,押し入れ,,,<旅館で>押入にまだ毛布がありますよ。,,,,,,,,
,お手洗い,,,「すみません、お手洗いはどちらですか」「あちらの奥になります」,,,,,,,,
,流し,,,食べ終わったら、食器は流しに置いといて。,,,,,,,,
,門,,,門の前でみんなで写真を撮りましょう。,,,,,,,,
,裏口,,,表は人が多いので、裏口から出てください。,,,,,,,,
,塀,,,塀の上で猫が気持ちよさそうに寝ている。,,,,,,,,
,垣根,,,その家は高い垣根に囲まれていて、中がほとんど見えない。,,,,,,,,
,井戸,,,昔はみんな、この井戸まで水をくみに来たそうだ。,,,,,,,,
,地下水,,,この辺りでは、農業用に地下水が利用されている。,,,,,,,,
,下水,,,下水処理場、下水工事。,,,,,,,,
,噴水,,,,,,,,,,,
,煙突,,,,,,,,,,,
,電柱,,,,,,,,,,,
,塔,,,,,,,,,,,
,寺院,,,そこは歴史のある街で、古い仏教の寺院がいくそかあった。,,,,,,,,
,名刺,,,ここは桜の名所で、花見のシーズンはとてもにぎやかになはます。,,,,,,,,
,役所,,,役所に行けば、必要な手続きがわかるんじゃない?,,,,,,,,
,商店,,,駅に降りてしばらく、商店が続く通りを歩いてみた。◇商店街,,,,,,,,
,シャッター,,,すみません。シャッターを押していただけませんか。◇シャッターを開ける。◇シャッターを閉める、シャッターを下ろす。,,,,,,,,
読む・書く・菊・話す,文書,,,文書で質問する、ビジネス文書。,,,,,,,,
,文献,,,古い文献を調べる。,,,,,,,,
,読み,,,漢字を読む。,,,,,,,,
,書き上げる,,,何とか締め切りまでに論文を書き上げた。,,,,,,,,
,書き取る,,,ノートに書き取る。,,,,,,,,
,書き取り,,,漢字の書取りのテスト。,,,,,,,,
,書き直す,,,字を間違えたので、最初から書き直した。,,,,,,,,
,書き留める,,,思いついたアイデアは、手帳に書き留めていた。,,,,,,,,
,描く,,,子供の頃、将来にどんな夢を描いていましたか。,,,,,,,,
,表示(する),,,カロリー表示。,,,,,,,,
,投書,,,新聞に投書する。,,,,,,,,
,推薦状,,,,,,,,,,,
,聞き手,,,,,,,,,,,
,聞き逃す,,,あ、今のところ、聞き逃しちゃった。何て言ったの?,,,,,,,,
,問い合わせる,,,いつから予約できるか、問い合わせてみた。,,,,,,,,
,問い合わせ,,,お問い合わせは下記まで。,,,,,,,,
,話題,,,彼は話題が豊富ですね。,,,,,,,,
,言いかける,,,彼女は、何か言いかけて、途中でやめた。,,,,,,,,
,話しかける,,,彼はすごく忙しそうで、話しかけられない。,,,,,,,,
,呼びかける,,,被害が拡大しないよう、警察が注意を呼びかけている。,,,,,,,,
,ささやく,,,そんなささやくような小さい声じゃ聞こえないよ。,,,,,,,,
,発見(する),,,大臣の発言が問題になっている。,,,,,,,,
,演説(する),,,もうすぐ大統領の演説が始まるよ。,,,,,,,,
,話し合う,,,今後のことについて、みんなでよく話し合ってください。,,,,,,,,
,論じる/論ずる,ろんじる/ろんずる,,<司会>次は、安全性について論じたいと思います。,,,,,,,,
,論争(する),,,消費税をめぐって、激しい論争が起きている。,,,,,,,,
,解説(する),,,この参考書は解説が丁寧です。,,,,,,,,
,コメント(する),,,作品について、先生からコメントをもらった。,,,,,,,,
,文句,,,作ってあげたんだから、文句を言わずに食べた。◇文句があったら、会社に言って。◇宣伝文句、誘い文句、決まり文句。,,,,,,,,
,愚痴,ぐち,,彼女は最近、会うといつも会社の愚痴を言う。,,,,,,,,
,不平,,,彼は不平を言うばかりで、自分では何もしようとしない。,,,,,,,,
,一言,,,最後に一言言わせてください。,,,,,,,,
,言付け,,,原さん、いないの?　じゃ、言付けを頼んでもいい?◇言付ける,,,,,,,,
,早口,,,佐藤さんは興奮すると早口になる。,,,,,,,,
,うなずく/うなづく,,,私が説明すると、彼はうなづき、「問題ありません」と言った。,,,,,,,,
天気・天候,天候,,,小さい飛行機なので、天候によっては、多少揺れることがあります。,,,,,,,,
,快晴,,,その日は雲一つない快晴だった。,,,,,,,,
,夕立,,,「あわっ、雨だ」「夕立だから、すぐ止むよ」,,,,,,,,
,大雨,,,昨夜の大雨で川の水が急激に増えた。,,,,,,,,
,ざあざあ,,,「どう?　雨は?　やみそうにない?」「うん。ざあざあ降ってる」,,,,,,,,
,雷が落ちる,,,,,,,,,,,
,警報,,,<テレビ>今、県南部に大雨警報が出ています。,,,,,,,,
,霧,きり,,「霧が出てきたら、前が見えにくいよ」「運転、気をつけて」◇霧が晴れる,,,,,,,,
,霜,しも,,「最近、寒いね」「うん。うちの庭にも、今朝、霜降りてたよ」◇霜が降りる,,,,,,,,
,吹雪,,,吹雪で何も見えなくなった。◇吹雪く,,,,,,,,
,湿気,,,この時期は湿気が多くて、洗濯物がなかなか乾かない。,,,,,,,,
,梅雨が明ける,,,,,,,,,,,
,大気,,,大気中には、様々な有害物質も含まれている。◇大気汚染,,,,,,,,
,気圧,,,では、天気図、現在の気圧の様子を見てみましょう。,,,,,,,,
,高気圧,,,明日は全国的に高気圧に覆われ、よく晴れるでしょう。,,,,,,,,
,低気圧,,,<天気予報>発達した低気圧によって、各地で激しい雨が降っています。,,,,,,,,
,温暖(な),,,ここは年中温暖な気候なので、とても暮らしやすいです。,,,,,,,,
,温帯,,,温帯低気圧,,,,,,,,
,寒帯,,,,,,,,,,,
,熱帯,,,熱帯のジャングル,,,,,,,,
お金,現金,,,お支払いは、現金とカード，どちらになさいますか。,,,,,,,,
,キャッシュ,,,キャッシュで払う,,,,,,,,
,金銭,,,この事件は、金銭関係のトラブルが原因らしい。,,,,,,,,
,大金,,,500万円もの大金を、彼はどうやって集めたんだろう。,,,,,,,,
,紙幣,,,,,,,,,,,
,為替,,,今日の為替レートはどれくらいですか。,,,,,,,,
,銀行口座,,,銀行口座を開く,,,,,,,,
,送金(する),,,海外に送金する時は、手数料がかなりかかる。,,,,,,,,
,納める,,,家賃が毎月、月末に納めています。◇税金を納める、家賃を納める,,,,,,,,
,関税,,,これらの輸入品は関税がかかっているから、どうしても値段が高くなる。◇関税の引き上げ,,,,,,,,
,課税(する),,,家賃などの収入も課税されます。,,,,,,,,
,請求(する),,,こちらにミスがあったので、代金を請求するつもりはありません。◇請求書,,,,,,,,
,代金,,,旅行の代金は、出発前に払うことになっています。,,,,,,,,
,手数料,,,部屋を借りるときは、不動産屋に手数料を払わなければならない。,,,,,,,,
,引く,,,サービスで200円引いてくれた。,,,,,,,,
,割り引く,,,ちょっと傷があったので、1000円を割り引いてくれた。◇セール品は2割引きです。,,,,,,,,
,学生割引(学割),がくせいわりびき(がくわり),,電車やバスには学割がある。,,,,,,,,
,値引き(する),,,食品の場合、閉店が近づくとよく割引される。,,,,,,,,
