項目,言葉,読み方,翻訳,例,例の翻訳,,内容の読み,同,同の読み方,対,対の読み方,
,立て替える,,,ごめん、チケット台、立て替えといてくれる?　明日、払うから。,,,,,,,,
,借金(する),,,借金を返すため、彼は寝ずに働いた。,,,,,,,,
,破産(する),,,その後も借金は増え続け、彼はとうとう破産してしまった。,,,,,,,,
,募金(する),,,多くのすぽーつせんしゅが、募金活動に協力した。◇金額はほんの少しが、時々募金をします。,,,,,,,,
,集金(する),,,町内会費の集金に参りました。,,,,,,,,
,給与,,,毎月の給与のほか、年２回のボーナスがある。,,,,,,,,
,月給,,,,,,,,,,,
,家計,,,安い給料なので、家計は毎月苦しいです。,,,,,,,,
,出費,,,年末年始は出費が多くなる。,,,,,,,,
,無駄遣い,,,これ、前に買ったのとほとんど同じじゃない? また無駄遣いして。,,,,,,,,
,経費,,,会社から、なるべく経費を抑えるように言われている。,,,,,,,,
,コスト,,,材料にコストがかかりすぎている。◇もう少しコストを抑えよう。,,,,,,,,
,領収書,,,,,,,,,,,
,資本,,,会社を大きくしていくには、まず資本が必要です。◇資本金、社会資本「体が資本」,,,,,,,,
,資金,,,開店資金に、あと100万円ほど必要です。,,,,,,,,
,収入,,,毎月の収入はどれくらいですか。,,,,,,,,
,支出,,,収入はあまり変わらないのに、支出はちょっとずつ増えている。,,,,,,,,
,会費,,,パーティの会費、年会費,,,,,,,,
,回数券,,,何回も乗るなら、回数券の方が得だよ。,,,,,,,,
,賞金,,,優勝したら、賞金がもらえるそうだよ。◇賞金を獲得する。,,,,,,,,
服・くつ,衣服,,,住む家も衣服も、当時と今とでは全く異なる。,,,,,,,,
,格好,,,結婚式にはどんな格好で行けばいいんだろう。,,,,,,,,
,かっこいい,,,かっこいい車、かっこいい男の人。,,,,,,,,
,かっこ悪い,,,みんなの前で恥をかいて、かっこ悪かった。,,,,,,,,
,和服,,,和服の似合う女性になりたい。,,,,,,,,
,寝巻き/寝間着,ねまき,,怠け者だから、休みの日は寝巻きのまま過ごすこともあります。,,,,,,,,
,エプロン,,,,,,,,,,,
,長袖,,,,,,,,,,,
,フリーサイズ,,,これはフリーサイズだから、小さすぎるってことはないと思うよ。,,,,,,,,
,襟,,,襟をきちんとして。かっこ悪いよ。,,,,,,,,
,スカーフ,,,,,,,,,,,
,生地,,,余った生地で、お弁当を入れる袋を作った。,,,,,,,,
,ハンドバッグ,,,,,,,,,,,
,化粧品,,,,,,,,,,,
,下駄,,,,,,,,,,,
,下駄箱,,,うちの下駄箱は、上の2つの棚が私用で、あとは全部、彼女が使っています。,,,,,,,,私用: わたしよう
,流行る,,,これ、最近、若い人の間で流行っているんでしょう?,,,,,,,,
数量・程度,やや,,,値段はやや高めですが、その分、機能が充実しています。,,,,,,,,
,幾分,いくぶん,,先週よりは幾分よくなったけど、まだ完全には治ってません。,,,,,,,,
,いくらか,,,今日、お金を用意してこなかったから、いくらか貸してくれない?,,,,,,,,
,多少,,,多少遠くても構いません。,,,,,,,,
,ほんの,,,ほんの数ミリ違うだけで、やり直しです。,,,,,,,,
,わずか(な),,,１位と2位の差はわずかだった。,,,,,,,,
,若干,,,若干の汚れはありますが、ほとんど深品です。◇<広告>若干名募集,,,,,,,,
,せいぜい,,,安いと言っても、せいぜい数百円です。,,,,,,,,
,大量,,,大量の水、大量のゴミ,,,,,,,,
,大量に,,,ここには、当時の写真やフィルムが大量に保管されている。,,,,,,,,
,膨大(な),,,膨大な資料、膨大な財産,,,,,,,,
,莫大(な),,,よく見ると表面の傷があった。,,,,,,,,
,数え切れない,,,数え切れないほどの星が見えた。,,,,,,,,
,定員,,,,,,,,,,,
,過半数,,,この案には、出席者の過半数が倒賛成した。,,,,,,,,
,達する,,,あと少しで貯金が目標金額に達する。,,,,,,,,
,足る,,,彼女は、信頼に足る人物です。,,,,,,,,
,満員,,,満員だから、次の電車にしましょう。,,,,,,,,
,過剰(な),,,いくら栄養があると言っても、過剰に摂るのは良くない。,,,,,,,,
,余り,,,「余りはどうしますか」「もう使わないから捨ててくれる?」,,,,,,,,
,余分(な),,,余分な油は拭き取ってください。,,,,,,,,
,余裕,,,今忙しくて、他のことをする余裕がない。◇ちょうどじゃなく、２センチくらい余裕があった方がいい。,,,,,,,,
,分量,,,ちょっと味が薄いから、何か分量を間違えたみたい。,,,,,,,,
,目安,めやす,,カバーは半年を目安に交換してください。,,,,,,,,
,推定(する),,,このような若者が、全国で推定２００万人いると言われる。,,,,,,,,
,大半,,,彼女は給料の大半を洋服に使っているそうです。,,,,,,,,
,大分,,,［体調はどうですか」「おかげさまで大分良くなりました」,,,,,,,,
,増す,,,チーズを加えたら、美味しさが増した。,,,,,,,,
,増大(する),,,負担の増大、機械の増大,,,,,,,,
,急増(する),,,近年、ネトに関するトラブルが急増している。,,,,,,,,
,激増(する),,,この１０年間で高齢者が激増している。,,,,,,,,
,激減(する),,,ワクチンの普及により、患者数は激減した。,,,,,,,,
,横ばい,,,売上は、ここ数年、横ばいです。,,,,,,,,
,上昇(する),,,気温の上昇、物価が上昇する。,,,,,,,,
,下降(する),,,景気の下降、人気が下降する。,,,,,,,,
,大小,,,研修所では、大小様々な部屋を使うことが出来た。,,,,,,,,
,規模,,,,,,,,,,,
,大規模,,,大規模な工事,,,,,,,,
,小規模,,,,,,,,,,,
,程度,,,けがの程度によっては、手術の可能性もある。,,,,,,,,
,平均(する),,,平均してひと月に３冊くらいの本を読みます。,,,,,,,,
趣味・娯楽・スポーツ,観賞(する),,,＜履歴書の「趣味」欄などで＞音楽鑑賞、映画鑑賞,,,,,,,,
,上映(する),,,この映画は、現在、５つの映画で上映されている。,,,,,,,,
,生花,,,生花を習い、生花教室,,,,,,,,
,作法,,,国によって、食事の時の作法が全然違うね。,,,,,,,,
,習字,,,,,,,,,,,
,稽古(する),,,週に２回、空手の稽古があります。,,,,,,,,
,俳句,,,,,,,,,,,
,絵(の)具,,,,,,,,,,,
,囲碁,,Игра Го,,,,,,,,,
,将棋,,,将棋を差す。,,,,,,,,
,トランプ,,,,,,,,,,,
,占う,,,「この人の占いはよく当たるらしいね」「へー、私も占ってほしいな」,,,,,,,,
,占い,,,「占いは信じるほうですか」「全部じゃないけど、少しは」,,,,,,,,
,園芸,,,狭い庭だけど、父は趣味の園芸を楽しんでいねる。,,,,,,,,
,栽培(する),,,今度、郊外の土地をちょっと借りて、野菜を栽培してみようと思います。,,,,,,,,
,コレクション(する),,,このレコードは、私のコレクションの中でも特に、貴重なものです。,,,,,,,,
,レクリエーション,,,今度の研修、4日間もあるから、何かレクリエーションも必要だね。,,,,,,,,
,海水浴,,,海水浴に行く。,,,,,,,,
,泳ぎ,,,うちの犬の方が、私よりずっと泳ぎが上手です。,,,,,,,,
,競技(する),,,今度のアジア大会では、役５０種類の競技が行われます。,,,,,,,,
,観戦(する),,,今日はスポーツ観戦には最高の天気ですね。,,,,,,,,
,コート,,,午後からテニスをするんだったら、コートを予約しておかないと。,,,,,,,,
,ラケット,,,,,,,,,,,
,〜対〜,,,イタリア対日本の試合、明日の夜７時からです。◇２対１でイタリアが勝った。,,,,,,,,
,番組,,,今晩、何か面白そうな番組ある？,,,,,,,,
体,額,,,教室の中は暑いのか、額に汗をかいている子もいた。,,,,,,,,
,おでこ,,,,,,,,,,,
,まぶた,,,,,,,,,,,
,瞳,,,,,,,,,,,
,頬,ほほ/ほお,,妹は怒るとすぐ頬が膨らませる。,,,,,,,,
,あご,,,あごひげ、あごが長い。,,,,,,,,
,腕,,,,,,,,,,,
,脇,,,車は店の脇に停めました。,,,,,,,,
,ウエスト,,,＜試着室で＞「どう？　ちょっと小さい？」「いや、ウエストはちょうどいい」,,,,,,,,
,親指,,,,,,,,,,,
,人さし指,,,,,,,,,,,
,中指,,,,,,,,,,,
,薬指,,,,,,,,,,,
,小指,,,,,,,,,,,
,肺,,,,,,,,,,,
,呼吸(する),,,目を閉じて、ゆっくりと呼吸をしてください。,,,,,,,,
,血,,,て、どうしたの？　血が出てるよ。,,,,,,,,
,血液,,,今、B型の血液が不足しているそうです。,,,,,,,,
,筋肉,,,昨日、ちょっと走っただけなんだけど、普段使わない筋肉だから、痛くて痛くて。,,,,,,,,
,全身,,,子供の時からのアレルギーで、食べると全身が痒くなるんです。,,,,,,,,
,脳,,,運動することで、脳の働きも活発になります。,,,,,,,,
,頭脳,,,人工頭脳,,,,,,,,
,体力,,,またちょっと痩せたんじゃない？　しっかり食べて体力をつけないと病気になるよ。,,,,,,,,
健康・病気,痛む,,,寒くなると昔怪我をしたところが痛む。,,,,,,,,
,腫れる,,,風邪を引いたみたいで、喉が少し腫れている。,,,,,,,,
,腫れ,,,,,,,,,,,
,花粉症,,,花粉症の私には春は辛い季節です。,,,,,,,,
,くしゃみ,,,急にくしゃみが出て、止まらなくなった。,,,,,,,,
,咳,,,昨日から咳が出て、喉も痛いです。,,,,,,,,
,吐き気,はきけ,,頭痛が酷くて、吐き気がするんです。,,,,,,,,
,傷あと,,,この傷あとは、ずっと残るんでしょうか。,,,,,,,,
,傷がつく,,,傷がついたリンゴはちょっと安くなっています。,,,,,,,,
,傷口,,,まず、傷口をきれいな水で洗ってください。,,,,,,,,
,重体,,,＜ニュース＞病院に運ばれた乗客のうち、１人が重体とのことです。,,,,,,,,
,けが人,,,＜ニュース＞この事故には、けが人が多数出ているとのことです。,,,,,,,,
,医者にかかる,,,時々胃が痛くなるようになって、半年ほど医者にかかっています。,,,,,,,,
,診察(する),,,診察券,,,,,,,,
,血圧,,,血圧が上がる、血圧が低い、高血圧の人,,,,,,,,
,レントゲン,,,レントゲンを撮る時は、金属類を外してください。,,,,,,,,
,診断(する),,,診断の結果、1週間の入院が必要と言われた。,,,,,,,,
,カルテ,,,先生は、カルテを書きながら、次々と質問をしてきた。,,,,,,,,
,産婦人科,さんふじんか,,,,,,,,,,
,歯科,,,,,,,,,,,
,保険,,,医療や保険の分野,,,,,,,,
,薬品,,,この中には危険な薬品も含まれていますので、絶対に触らないでください。,,,,,,,,
,目薬,,,私は目が乾きやすいから、目薬をよく挿します。,,,,,,,,
,医療,,,この技術は、色々な医療機関で使われている。◇医療費,,,,,,,,
,健康保険証,,,短く、「保険保」と言うことが多い。,,,,,,,,
,健康診断,,,年に1度は健康診断を受けましょう。,,,,,,,,
,不健康(な),,,ファストフードばかり食べてから不健康ですよ。,,,,,,,,
,うがい,,,風邪の予防に、うがいと手洗いが効果的です。,,,,,,,,
,カウンセリング,,,最近、何に対してもやる気がないと言ったら、カウンセリングを受けるよう勧められた。,,,,,,,,
,リハビリ,,,祖父は、少しでも自分で歩けるように、リハビリを続けている。,,,,,,,,
,空腹,,,空腹に耐えられず、夜中にカップラーメンを食べてしまった。,,,,,,,,
,あくび,,,さっきからあくびばかりしてるね。寝不足？,,,,,,,,
,しゃっくり,,,困ったなあ。しゃっくりが止まらない。,,,,,,,,
地球・自然,太陽,,,,,,,,,,,
,重力,,,無重力の世界。,,,,,,,,
,引力,,,月の引力に引っ張られる。,,,,,,,,
,日光,,,日光浴。,,,,,,,,
,日差し,,,日差しを避ける。,,,,,,,,
,火口,,,,,,,,,,,
,噴火(する),,,,,,,,,,,
,溶岩,,,,,,,,,,,
,野,,,彼女には、野に咲く花のような徒然な魅力を感じる。◇野ネズミ,,,,,,,,
,野原,,,広い野原には、知らない花がたくさん咲いていた。,,,,,,,,
,平野,,,県南部は、海岸に沿って平野が広がっている。,,,,,,,,
,地平線,,,ここは山も高い建物もないすら、地平線が見えるんです。,,,,,,,,
,水平線,,,水平線に日が沈むのをずっと見ていた。,,,,,,,,
,日の出,,,日の出の時間、日の出を見る。,,,,,,,,
,日の入り,,,,,,,,,,,
,盆地,,,ここは盆地だから、朝と夜の気温差が大きい。,,,,,,,,
,泉,,,,,,,,,,,
,半島,,,朝鮮半島,,,,,,,,
,海洋,,,海洋調査,,,,,,,,
,現象,,,自然現象,,,,,,,,
,津波,つなみ,,＜ニュース＞この地震による津波の心配はありません。,,,,,,,,
,水面,,,見て。水面に水が張ってる。,,,,,,,,
,赤道,せきどう,,,,,,,,,,
,ジャングル,,,,,,,,,,,
,酸素,さんそ,,,,,,,,,,
,二酸化炭素,にさんかたんそ,,,,,,,,,,
,地球温暖化,,,,,,,,,,,
,自然保護,,,,,,,,,,,
,エコ,,,エコの関心のある多くの企業が、このリサイクル技術を採用した。◇エコバッグ、エコカー,,,,,,,,
,絶滅(する),,,パンダは絶滅の恐れおある動物として、保護の対象になっている。,,,,,,,,
事務用品,便せん,びんせん,,こういうきれいな便箋で手紙をもらうと、嬉しいよね。,,便箋,,,,,,
,筆,,,この筆はちょっと毛が硬い。,,,,,,,,
,筆記,,,筆記用具、筆記試験,,,,,,,,
,蛍光ペン,,,,,,,,,,,
,修正液,,,,,,,,,,,
,定規,じょうぎ,,線を引く時は、定規を使ってきれいにね。,,,,,,,,
,物差し,,,彼は自分の物差しでしか物事を判断できないんだよ。,,,,,,,,
,ガムテープ,,,段ボール箱はあるけど、ガムテープはない。,,,,,,,,
仕事・作業,労働(する),,,労働時間、労働者、労働力不足,,,,,,,,
,怠ける,,,練習を怠ける、怠け者,,,,,,,,
,収穫(する),,,米の収穫◇調べたが、特に収穫はなかった。,,,,,,,,
,製作(する),,,自動車部品の製作会社,,,,,,,,
,組み立てる,,,棚を組み立てる,,,,,,,,
,組み立て,,,自動車の組み立て工場,,,,,,,,
,企画(する),,,企画が通る,,,,,,,,
,編集(する),,,雑誌の編集、編集者,,,,,,,,
,制作(する),,,映画の制作,,,,,,,,
,作成(する),,,明日までに報告書を作成地なければならない。,,,,,,,,
,未完成(な),,,未完成の曲,,,,,,,,
,手入れ(する),,,よく手入れがされた庭ですね。,,,,,,,,
,手間,,,面白そうだけど、かなりの手間になりそうだね。◇ちょっと手間がかかるけど、すごこ美味しいんですよ。,,,,,,,,
,修正(する),,,間違ったところを修正しました。,,,,,,,,
,やり直す,,,間違いがあったので、計算をやり直すことになった。◇やり直し,,,,,,,,
,プレゼント(する),,,新商品のプレゼント,,,,,,,,
,やり取り(する),,,彼とはメールのやり取りだけで、まだ会ったことがない。,,,,,,,,
,打ち合わせ,,,会が始まる前にもう一度打ち合わせをしましょう。,,,,,,,,
,応対(する),,,まず、電話の応対ができるようになってください。,,,,,,,,
,取り次ぐ,,,森部長にお取り次ぎいただけますでしょうか。◇取り次ぎ,,,,,,,,
,保留(する),,,内線に回すときは、保留にしてから、内線番号を押してください。◇「これは中止になったの？」「とりあえず保留だって」,,,,,,,,
,席を外す,,,＜電話＞担当者はただ今席を外しておりますが・・・・・・。,,,,,,,,
,取り扱う,,,割れやすいので、取り扱いに注意してください。◇取り扱い,,,,,,,,
,管理(する),,,商品の管理、体調を管理する,,,,,,,,
,効率,,,効率を重視する。,,,,,,,,
,効率的(な),,,効率的なやり方,,,,,,,,
,能率,,,広いテーブルに変えたら、作業の能率が上がった。,,,,,,,,
,合理的(な),,,合理的な考え。,,,,,,,,
,合理化(する),,,,,,,,,,,
技術・産業,発明(する),,,,,,,,,,,
,発射(する),,,ロケットを発射する,,,,,,,,
,発電,,,原子力発電、発電所,,,,,,,,
,放射能,,,放射能汚染、放射能から身を守る,,,,,,,,
,原子爆弾,,,,,,,,,,,
,映像,,,この映画は、映像の美しさが高く評価された。,,,,,,,,
,音声,,,,,,,,,,,
,農業,,,,,,,,,,,
,工業,,,,,,,,,,,
,漁業,,,海に面したこの辺りは、昔から漁業が盛んでした。,,,,,,,,
,水産業,,,,,,,,,,,
,製造業,,,,,,,,,,,
,メーカー,,,,,,,,,,,
,商業,,,この辺りに大きな商業施設ができるそうだ。,,,,,,,,
,農産物,,,農産物の輸入,,,,,,,,
,農薬,,,これは、農薬をほとんど使わずに育てた野菜です。,,,,,,,,
,工芸,,,ガラス小芸、工芸品、伝統工芸,,,,,,,,
,名産,,,この地方の名産といえば、やはりリンゴですね。,,,,,,,,
,名物,,,大阪名物,,,,,,,,
,穀物,,,日本は、小麦やとうもろこしなど多くの穀物を輸入している。,,,,,,,,
,産地,,,この辺りはブドウの産地として有名です。,,,,,,,,
,国産,,,この店では国際の材料しか使っていません。,,,,,,,,
,〜原産,,,メキシコ原産の花。,,,,,,,,
原料・材料,素材,,,最近は、天然素材を使った化粧品が人気です。,,,,,,,,
,布,,,汚れないように、何か布で覆った方がいい。,,,,,,,,
,綿,,,綿１００％のシャツ◇「ぬいぐるみをつくってるの？」「そう。最後に綿を入れば完成」,,,,,,,,
,絹,,,,,,,,,,,
,シルク,,,,,,,,,,,
,毛皮,,,毛皮のコート,,,,,,,,
,羊毛,,,オーストラリアは、羊毛の生産が盛んです。,,,,,,,,
,毛糸,,,毛糸のマフラー,,,,,,,,
,材木,,,材木店,,,,,,,,
,鉱物,,,鉱物資源,,,,,,,,
,銅,,,,,,,,,,,
,プラスチック,,,プラスチックの容器,,,,,,,,
,水素,,,,,,,,,,,
,成分,,,食品を買うときは、どんな成分が含まれているが、必ず確認します。◇成分表示,,,,,,,,
,無害(な),,,この洗剤は体に無害なので、安心して使える。,,,,,,,,
,再利用(する),,,再利用できるものは、ここには捨てないでください。,,,,,,,,
道具・器具・機械,装置,,,安全のため、この装置を取り付ける必要があります。,,,,,,,,
,機械,,,,,,,,,,,
,はかり,,,＜料理＞材料は、はかりを使って正確に量ってください。,,,,,,,,
,タイマー,,,タイマーをセットする。,,,,,,,,
,メーター,,,,,,,,,,,
,受話器,,,,,,,,,,,
,電卓,,,,,,,,,,,
,ライター,,,,,,,,,,,
,金庫,,,,,,,,,,,
,望遠鏡,,,,,,,,,,,
,針金,,,,,,,,,,,
,ばね,,,,,,,,,,,
,鎖,,,,,,,,,,,
,水筒,,,,,,,,,,,
,蛇口,,,蛇口をひねっても水が出てこないんですが・・・,,,,,,,,
,栓,,,栓抜き,,,,,,,,
,パイプ,,,パイプが詰まって、水の流れが悪い。◇彼は日本と中国とパイプ役として期待されている。,,,,,,,,
,はしご,,,,,梯子,,,,,,
,レンガ,,,,,,,,,,,
,ペンキ,,,＜貼り紙＞ペンキ塗りたて,,,,,,,,
,雑巾,,,床は雑巾で軽く拭いてください。,,,,,,,,
,綱,,,,,,,,,,,
,風船,,,,,,,,,,,
,刀,,,,,,,,,,,
,かみそり,,,,,剃刀,,,,,,
,のこぎり,,,,,,,,,,,
,鉄砲,,,１６世紀に日本に鉄砲が伝わった。,,,,,,,,
,銃,,,銃の規制,,,,,,,,
,武器,,,,,,,,,,,
動物・植物・人間,撒く/蒔く,,,うちではピーマンは、３月にタネを撒いて、６月から７月にかけて収獲します。,,,,,,,,
,根,,,３年前に植えたこの木も、しっかりと根を伸ばしたようだ。◇根っこ,,,,,,,,
,養分,,,根をしっかり張らないと、土の養分を吸い取ることができない。,,,,,,,,
,草,,,見て。こんなところにも草が生えている。◇草を刈る,,,,,,,,
,茂,,,草が茂っていて、ボールがすぐに見つからない。,,,,,,,,
,幹,,,,,,,,,,,
,芽,,,暖かくなって、やっと芽が出てた。,,,,,,,,
,つぼみ,,,やっとつぼみがついたね。もうすぐさくかな？◇つぼみが咲き始める,,蕾,,,,,,
,花粉,,,「風邪ですか」「いえ、花粉症なんです。朝から鼻水がとまらなくて・・・・・・」,,,,,,,,
,雄,,,,,,,,,,,
,雌,,,,,,,,,,,
,稲,,,稲の葉、濃い緑色から、徐々に黄緑色に変化していきます。,,,,,,,,
,紅葉(する),,,東京は紅葉の時期が一番混むそうだよ。,,,,,,,,
,落ち葉,,,,,,,,,,,
,枯れ葉,,,,,,,,,,,
,並木,,,春になったら、この桜並木はきれいなんだろいね。,,,,,,,,
,植木,,,植木用のはさみ,,,,,,,,
,梅,,,「あの花、桜？」「２月だから桜はまだだよ。あれは梅だよ」,,,,,,,,
,杉,,,今年は杉の花粉が多いんだって。嫌だなあ。,,,,,,,,
,巣,,,,,,,,,,,
,小鳥,,,動物好きの家だったので、小鳥も飼っていました。,,,,,,,,
,つばさ,,,翼を広げる,,,,,,,,
,蚊,,,なんか、かゆいなあ。蚊に刺されたかもしれない。,,,,,,,,
,金魚,,,,,,,,,,,
,サメ,,,,,,,,,,,
,象,,,,,,,,,,,
,角,,,,,,,,,,,
,細胞,,,,,,,,,,,
,遺伝(する),,,「両親とも背が高いんです」「じゃあ、遺伝だね」,,,,,,,,
,遺伝子,,,遺伝子組み換え商品,,,,,,,,
,細菌,,,口の中には、常にたくさんの細菌がいる。,,,,,,,,
学校・教育,課程,,,教師になるには、まず２年間の専門課程を終了しなければならない。◇通信教育課程,,,,,,,,
,カリキュラム,,,新しいコースのカリキュラムが決まった。,,,,,,,,
,在学(する),,,彼女とは大学が同じで在学中からの知り合いです。,,,,,,,,
,進学(する),,,大学院に進学するか就職するかで迷っている。,,,,,,,,
,再試験,,,６０点以下の学生は来週、再試験を行います。,,,,,,,,
,答案,,,答案用紙に名前を書き忘れてしまった。,,,,,,,,
,不合格,,,残念ですが、今回は不合格でか。,,,,,,,,
,落第(する),,,テストの点が良くても、授業を休みすぎると落第になる。,,,,,,,,
,幼稚園,,,,,,,,,,,
,塾,,,受験のため、学校が終わると毎日塾に通っていた。,,,,,,,,
,幼児,,,幼児向けの本なので、絵がたくさん描いてあります。,,,,,,,,
,児童,,,安全のため、保護者に児童の送り迎えを頼んでいる。,,,,,,,,
,新入生,,,新入生に学校を案内してあげた。,,,,,,,,
,校庭,,,校庭で遊ぶ子供もいれば、教室で本を読む子供もいる。,,,,,,,,
,学期,,,４月から進学機だから、テキストが変わる。,,,,,,,,
,語学,,,私の姉は語学が趣味で、今はタイ語を勉強しています。,,,,,,,,
大学・研究,分野,,,自分がどんな分野に興味があるのか、最近やっとわかってきた。,,,,,,,,
,政治学,,,,,,,,,,,
,経済学,,,,,,,,,,,
,教育学,,,,,,,,,,,
,心理学,,,,,,,,,,,
,物理学,,,,,,,,,,,
,自然科学,,,,,,,,,,,
,人文科学,,,,,,,,,,,
,概論,,,,,,,,,,,
,研究室,,,先生の研究室を訪ねて、よくアドバイスをしてもらいました。,,,,,,,,
,観測(する),,,この巨大な望遠鏡を使って、毎日、星や太陽の動きを観測しています。,,,,,,,,
,博士,はかせ,,修士号を取ったら、博士課程に進むつもりです。,,,,,,,,
,説,,,月の誕生については、色々に説がある。,,,,,,,,
,学会,,,次の学会で発表することになった。,,,,,,,,
対象・範囲,限る,,,限られた時間で、とこまで準備ができるだろう？,,,,,,,,
,〜限り,,,商品到着後7日間に限り、返品も可能です。◇私の知っている限り、彼はそんな人じゃない。,,,,,,,,
,限定(する),,,限定１００個とか言われると、どうしても欲しくなっちゃう。,,,,,,,,
,限度,,,ホテル代は1泊１万円が限度だな。それ以上は出せないよ。,,,,,,,,
,越す,,,今日も30度を越す暑い一日となりました。,,,,,,,,
,無限,,,子供たちには無限の可能性がある。,,,,,,,,
,未満,,,１８歳未満は中に入ることができません。,,,,,,,,
,不問,,,＜アルバイトの募集広告＞経験不問。初めての方でも大歓迎。,,,,,,,,
,問わない,,,＜アルバイトの募集広告＞だんじょは問わない。,,,,,,,,
,あらゆる,,,その店には、ゴルフに関するあらゆる商品が揃っている。◇あらゆる可能性を探る,,,,,,,,
,全般,,,このような傾向は、日本社会全般に見られます。,,,,,,,,
,例外,,,この発音のルールに従えばいいのですが、一部、例外もあります。,,,,,,,,
,唯一,,,入院中はひまで、唯一の娯楽がテレビでした。,,,,,,,,
,そのもの,,,運動そのものは悪くないけど、やり方によっては体を悪くすることもある。,,,,,,,,
,めいめい,"Каждый, индивидуальный",,夕食は全員一緒だけど、昼食はめいめいでとることになった。,,,,,,,,
,〜通り,〜とおり,,ゴルフ道具は一通り揃えましたが、まだ使ったことがないんです。,,,,,,,,
社会・国・ルール,国家,,,国家公務員、国家プロジェクト,,,,,,,,
,治める,,,国に治める,,,,,,,,
,政治,,,,,,,,,,,
,政治家,,,,,,,,,,,
,総理大臣,,,,,,,,,,,
,政党,,,各政党から１名の候補者が出た。,,,,,,,,
,党,,,党の代表、民主党,,,,,,,,
,官庁,,,中央官庁,,,,,,,,
,県庁,,,,,,,,,,,
,消防,,,消防署、消防車、消防隊,,,,,,,,
,制度,,,年金制度、制度を見直す,,,,,,,,
,改革(する),,,教育制度を改革する必要がある。,,,,,,,,
,憲法,,,,,,,,,,,
,改正(する),,,法律を改正する。,,,,,,,,
,規律,,,軍隊では、規律が第一だ。,,,,,,,,
,違反(する),,,一人で行ったの？　それはルール違反だよ。,,,,,,,,
,判決,,,裁判で無罪の判決が出た。,,,,,,,,
,罰(する),ばっ(する),,飲酒運転は法律で厳しく罰せられる。,,,,,,,,
,軍,,,海軍、空軍、陸軍,,,,,,,,
,軍隊,,,軍隊に入る,,,,,,,,
,自衛,,,自衛隊,,,,,,,,
,治安,,,治安の良くない所には、一人で行かないで下さい。,,,,,,,,
,自治,,,地方自治,,,,,,,,
,方針,,,国の方針に基づいて、新たな工事計画が発表された。,,,,,,,,
,権利,,,,,,,,,,,
,義務,,,権利を主張する前に、ちゃんと義務を果たしてほしい。,,,,,,,,
,正式(な),,,正式な発表,,,,,,,,
,公正(な),,,選挙が公正に行われているか、厳しくチェックしなければならない。,,,,,,,,
,エチケット,,,咳をするときは、ハンカチなどで口を押さえるのがエチケットだと思う。,,,,,,,,
,個人情報,,,個人情報の取り扱いに注意してください。,,,,,,,,
,リサイクル(する),,,ゴミのリサイクル,,,,,,,,
,世間,,,今、この新サービスが世間の注目を集めている。,,,,,,,,
,民間,,,公務員になるのはやめて、民間企業に就職するつもりです。,,,,,,,,
職業・身分,ビジネスマン,,,,,,,,,,,
,農家,,,実家が農家なので、野菜がよく送られてくるんです。,,,,,,,,
,工員,,,,,,,,,,,
,船員,,,,,,,,,,,
,教員,,,教員免許、大学の教員,,,,,,,,
,技師,,,レントゲン技師,,,,,,,,
,エンジニア,,,,,,,,,,,
,コック,,,,,,,シェフ,,,,
,警官,,,,,,,,,,,
,お巡りさん,,,交番で道を尋ねたら、お巡りさんがすごく親切に教えてくれた。,,,,,,,,
,刑事,,,,,,,,,,,
,弁護士,,,,,,,,,,,
