項目,言葉,読み方,翻訳,例,例の翻訳,,内容の読み,同,同の読み方,対,対の読み方,
,消防士,,,,,,,,,,,
,宇宙飛行士,,,,,,,,,,,
,詩人,,,,,,,,,,,
,ジャーナリスト,,,,,,,,,,,
,牧師,,,,,,,,,,,
,神父,,,,,,,,,,,
,大家,,,家賃は大家さんに毎月、現金で払っています。家主,,,,家主,やぬし,,,
,専門家,,,専門家の意見を聞いたほうがいい。,,,,,,,,
,芸術家,,,,,,,,,,,
,科学者,,,子供の頃は科学者になるのが夢でした。,,,,,,,,
,学者,,,言語学者、有名な学者,,,,,,,,
,職人,,,時計職人、ガラス職人,,,,,,,,
,弟子,,,,,,,,,,,
,助手,,,助手を雇う,,,,,,,,
,就職活動,,,,,,,,,,,
,求人,,,あの店で求人が出ていたよ。,,,,,,,,
,急募,,,＜求人広告＞アルバイト急募！,,,,,,,,
,採用(する),,,採用試験、企画を採用する,,,,,,,,
,正社員,,,,,,,,,,,
,派遣 (する),,,事故原因を調べるため、現地に調査チームが派遣された。,,,,,,,,
,労働者,,,,,,,,,,,
,リストラ(する),,,Ａ社は、今後２年間で３０００人の従業員をリストラすることを発表した。,,,,,,,,
,失業(する),,,,,,,,,,,
,職,,,職探し、職が見つかる、無職,,,,,,,,
,役人,,,役人に任せておくだけはだめだ。,,,,,,,,
,職員,,,市役所の職員、大学の職員,,,,,,,,
,スタッフ,,,今回一緒に仕事をしたスタッフ全員に感謝しています。,,,,,,,,
,係員,,,係員を呼んできますので、ここでお待ちください。,,,,,,,,
,属する,,,彼はどのグループにも属していない。,,,,,,,,
,地位,,,社会的地位の高い人,,,,,,,,
,位,,,一つ位が上がる、位の低い人間,,,,,,,,
,出席(する),,,彼がこんなに出世するとは思わなかった。,,,,,,,,
,昇進(する),,,,,,,,,,,
,キャプテン,,,,,,,,,,,
,重役,,,重役会議,,,,,,,,
,就任,,,会長を就任する,,,,,,辞任(する),じにん(する),
,引退(する),,,,,,,,,,,
,営業(する),,,彼は営業に向いている。＜店＞営業時間,,,,,,,,
,販売(する),,,,,,,,,,,
,経理,,,領収書が必要かどうか、経理の者に聞いてみます。,,,,,,,,
,人事,,,人事部、人事に関するお知らせ,,,,,,,,
,身分,,,身分証明書,,,,,,,,
,武士,,,,,,,,,,,
,農民,,,,,,,,,,,
立場・役割,担当(する),,,今月からこの地域を担当します。◇担当者,,,,,,,,
,責任,,,何か問題が起きたら、私が責任を取ります。◇今回の事故は誰の責任になるんですか。◇もし次の試合に負けると、監督は責任を問われることになるだろう。◇責任を果たす、責任が重い、責任感,,,,,,,,
,責任者,,,＜商品やサービスへの不満＞あのー、責任者に代わってもらえませんか。,,,,,,,,
,代理,,,今日は部長の代理で私が参りました。,,,,,,,,
,議長,,,,,,,,,,,
,当番,,,,,,,,,,,
,役目,,,皆さんに必要な情報を提供するのが、私たちの役目です。,,,,,,,,
,役員,,,PTAの役目、会社の役目,,,,,,,,
グループ・組織,組織,,,組織づくり、体の組織,,,,,,,,
,集団,,,集団で行動する,,,,,,,,
,群/群れ,むれ,,象の群の中には、小さな赤ちゃん像もいます。,,,,,,,,
,自社,,,新人の方は、まず、自社商品にそいて勉強してください。,,,,,,,,
,当社,,,当社としては、政府のこの計画に賛成です。,,,,,,,,
,我が社,,,我が社にとって、今年は記念すべき年になりました。,,,,,,,,
,他社,,,他社の動きにも、注意しなければなりません。,,,,,,,,
,本店,,,,,,,,,,,
,支店,,,,,,,,,,,
,本部,,,本部から指示かあれば、スタッフがいつでも現地に行けるよう準備をしています。,,,,,,,,
,支社,,,,,,,,,,,
,本社,,,,,,,,,,,
,大勢,,,監督が変わり、チームは新しい体制でスタートした。,,,,,,,,
,集会,,,うちのマンションでは、年に何回か集会があります。,,,年に：ねんに,,,,,
,組合,,,労働組合,,,,,,,,
,国立,,,国立公園、国立施設,,,,,,,,
,私立,,,私立大学、私立高校,,,,,,,,
,公立,,,やはり公立の学校より私立のほうが授業料が高い。,,,,,,,,
行事・イベント,日程,,,出張の日程が決まったら、お知らせください。◇日程の調整,,,,,,,,
,催す,,,＜案内＞今月の催し物◇催し,,,,,,,,
,開催(する),,,次のオリンピクは東京で開催されるかもしれない。◇開催日程,,,,,,,,
,展覧会,,,今週末は子供の絵の展覧会を見に行く予定です。,,,,,,,,
,宴会,,,お酒はあまり飲めませんが、宴会の楽しい雰囲気は好きです。,,,,,,,,
,コンパ,,,新入生歓迎コンパ,,,,,,,,
,(お)盆,,,お盆と正月には、家族を連れて、実家に帰るようにしています。,Я стараюсь каждый год на Обон и новый год ездить с семьей к родителям.,,,,,,,
,お参り(する),,,正月は毎年、この神社にお参りにきます。,,,,,,,,
,(お)墓参り,,,お盆は毎年家族そろってお墓参りに行きます。,,,,,,,,
手続き,手続き(する),,,手続きが必要な方はこちらにお並びください。,,,,,,,,
,無断(する),,,この写真、本人に無断で使ったの？　それは駄目だよ。,,,,,,,,
,申請(する),,,奨学金の申請をしたい人は、25日までに書類を提出してください。,,,,,,,,
,届け,,,休暇を取るときは、早めに届けを出すようにしてください。◇届け出,,,,,,,,
,アポイント/アポ,,,「午後にちょっと打ち合わせしようか」「すみません、アポが一つ入ってるんです。夕方なら大丈夫ですが」◇「A社にはアポなしで行くつもり？」「いえ、もう取ってあります」,,,,,,,,
,応募(する),,,１０人の募集に対して、１００人以上の応募があった。◇応募者,,,,,,,,
,締め切る,,,定員になりましたので、受付を締め切らせていただけます。◇締め切り,,,,,,,,
,申込者,,,,,,,,,,,
,処理(する),,,工場から出るこのようなごみは、どのように処理されるんですか。,,,,,,,,
,発行(する),,,ビザの発行までに約１週間かかります。,,,,,,,,
,取り消す,,,,,,,,,,,
,取り消し,,,予約の取り消しは、必ず前日までにご連絡ください。,,,,,,,,
,可決(する),,,この案は、賛成多数で可決された。,,,,,,否決(する),ひけつ(する),
,公表(する),,,この調査結果を公表するかどうか、政府内で議論があつたようだ。,,,,,,非公表,ひこうひょう,
,公開(する),,,写真や連絡先などは、公開か非公開か選択できます。,,,,,,非公開,ひこうかい,
,公式(な),,,非公式てはありますが、この記録は、従来の世界記録を大幅に超えるものです。,,,,,,非公式,ひこうしき,
場所・位置・方向,中心,,,町の中心に神社がある。,,,,,,,,
,中央,,,＜写真＞皆さん、もうちょっと中央に寄ってください。,,,,,,,,
,縁,,,このグラス、縁の部分が汚れている。,,,,,,,,
,底,,,,,,,,,,,
,面,,,,,,,,,,,
,面する,,,西側の部屋は道路に面していて、うるさい。,,,,,,,,
,表,,,,,,,,,裏,うら,
,裏,,,,,,,,,,,
,逆さ,,,この絵は逆さから見ても人の顔になります。,,,,,,,,
,逆さま,,,シャツ、表裏逆さまに着てるんじゃない？,,,,,,,,
,斜め,,,コピーがちょっと斜めになっちゃった。◇右斜め前の人が青木さんです。,,,,,,,,
,垂直(な),,,,,,,,,,,
,水平(な),,,,,,,,,,,
,地面,,,地面に大きな穴が空いている。,,,,,,,,
,場,,,この教室は、男女の出会いの場にもなっている。◇その場の雰囲気,,,,,,,,
,スペース,,,荷物を置くスペースがない。,,,,,,,,
,間隔,,,大体５０センチ間隔でいすをなせべてください。,,,,,,,,
,中間,,,私の家は、A駅とB駅のちょうど中間にあります。,,,,,,,,
,手前,,,＜タクシー＞次の信号の手前で降ろしてください。,,,,,,,,
,付近,,,公園の入り口付近で事故が起きた。,,,,,,,,
,最寄り,,,最寄りお駅,,,,,,,,
,方角,,,方角を間違える、南西の方角,,,,,,,,
,東西,,,,,,,,,,,
,南北,,,日本は南北に長い。,,,,,,,,
,方面,,,とりあえず東京方面に向かう電車に乗ろう。,,,,,,,,
,地理,,,彼はこの辺りの地理に詳しいです。◇地理の授業、地理的な条件,,,,,,,,
,目印,,,駅を降りてすぐです。黄色い看板が目印です。,,,,,,,,
,頂上,,,,,,,,,,,
,ふもと,,,,,,,,,,,
,頂点,,,＜スポーツなど＞いずれ世界の頂点に立ちたいと思います。,,,,,,,,
,境界,,,この道路が、隣の県との境界になっている。,,,,,,,,
,区域,,,川沿いの住宅地は、市から危険区域に指定されている。,,,,,,,,
,区間,,,電車区間,,,,,,,,
,区分,,,この地図は、避難場所の区分を示したものです。,,,,,,,,
,国境,,,,,,,,,,,
,出入口,,,出入り口に物を置かないでください。,,,,,,,,
,内側,,,内側のポケット,,,,,,,,
,両側,,,道の両側に店が並んでいる。,,,,,,,,
,隙間,,,隙間は汚れがたまりやすいから、よく洗ってください。,,,,,,,,
,基地,,,,,,,,,,,
,焦点,,,この眼鏡は焦点が合ってない気がする。,,,,,,,,
,先頭,,,先頭を走っているのが原さんです。,,,,,,,,
,空中,,,まるで空中に浮いているような感じでした。,,,,,,,,
,屋外,,,屋外コンサート,,,,,,,,
,全国,,,バイクで(日本)全国の温泉を回っています。,,,,,,,,
,農村,,,漁村,,,,,,,,
,下町,,,ここは下町の雰囲気が残っていて、懐かしい気分になる。,,,,,,,,
,あちらこちら,,,あちらこちらから反対の声が上がった。,,,,,,,,
,所々,,,この鞄は所々に傷がある。,,,,,,,,
,よそ,,,ここにはないけど、よそなら売ってるかもしれない。◇よそ見をするな！,,,,,,,,
,移転(する),,,あの店は先月移転しました。,,,,,,,,
商品・サービス,レンタル(する),,,キャンプ用品は、現地でレンタルすることにしました。◇レンタカー,,,,,,,,
,在庫,,,「これの赤はありますか」「赤ですね。今、在庫を確認してきますので、少々お待ちください」,,,,,,,,
,品,,,お祝いの品、思い出の品、豊富な品揃え,,,,,,,,
,高級品,,,「どう？　その万年筆」「やっぱり高級品は違うね。すごく書きやすい」,,,,,,,,
,不良品,,,不良品だったから交換してもらった。,,,,,,,,
,貨物,,,貨物列車,,,,,,,,
,輸送(する),,,輸送手段として、トラックと船を使うことになる。,,,,,,,,
,普及(する),,,携帯電話の普及によって、公衆電話の数がすごく減った。,,,,,,,,
,コマーシャル,,,あっ、これ、テレビのコマーシャルで見た！,,,,,,,,
,再放送,,,その番組、見逃しちゃったんだよ。再放送してくれないかなあ。,,,,,,,,
,開店(する),,,,,,,,,,,
,閉店(する),,,閉店時間◇今月いっぱいでこの店を閉店することになりました。,,,,,,,,
,定休日,,,,,,,,,,,
知識・能力,能力,,,うちの会社では、能力がある人にはどんどんチャンスが与えられます。◇能力を測る,,,,,,,,
,発揮(する) ,,,緊張して実力を発揮できませんでした。,,,,,,,,
,有能(な),,,有能な部下を持って、私は幸せですよ。,,,,,,,,
,素質,,,初めてなのに上手だね。素質があるよ。,,,,,,,,
,知恵,,,考えてもなかなかいい知恵が浮かばない。,,,,,,,,
,想像力,,,相手がどんな気持ちか、ちょっと想像力を働かせればわかることだよ。,,,,,,,,
,集中力,,,これは非常に細かい作業なので、集中力が必要です。,,,,,,,,
,学力,,,調査の結果、子供の学力が全体的に下がっていることがわかった。,,,,,,,,
,学歴,,,社会に出たら学歴は関係ないというけど、本当でしょうか。,,,,,,,,
,教養,,,大学では、専門的な知識を学ぶだけでなく、教養を身につけることも大切だ。,,,,,,,,
,資格,,,彼女は看護師になるのが夢で、今、その資格を取るための勉強をしている。,,,,,,,,
,免許,,,運転免許はまだ持っていません。,,,,,,,,
,初心者,,,初心者の方も大勢いますから、気軽に参加してください。,,,,,,,,
,上達(する),,,毎日練習しているんだけど、なかなか上達しない。,,,,,,,,
,進歩(する),,,最近の技術の進歩の速さにはついていけない。,,,,,,,,
,ベテラン,,,ベテランと新人とでは、仕事のスピードが全然違う。◇経験２０年の大ベテラン,,,,,,,,
評価・成績,基準,,,採用するかどうかの判断基準は何ですか。,,,,,,,,
,採点(する),,,,,,,,,,,
,満点,,,,,,,,,,,
,最高,,,,,,,,,,,
,最低,,,,,,,,,,,
,勝る,,,,,,,,,,,
,劣る,,,,,,,,,,,
,敗れる,,,,,,,,,,,
,弱点,,,,,,,,,,,
,勝敗,,,,,,,,,,,
,可,,,,,,,,,,,
,不可,,,,,,,,,,,
,損(な),,,,,,,,,,,
,得(な),,,,,,,,,,,
,損得,,,,,,,,,,,
,釣り合う,,,,,,,,,,,
,相当(する),,,,,,,,,,,
,相応しい,ふさわしい,,,,,,,,,,
,肯定,,,,,,,,,,,
,否定,,,,,,,,,,,
,等しい,,,,,,,,,,,
,批判(する),,,,,,,,,,,
,批評(する),,,,,,,,,,,
,評論(する),,,,,,,,,,,
,進める,,,,,,,,,,,
,おすすめ(する),,,,,,,,,,,
,推薦(する),,,,,,,,,,,
,支持(する),,,,,,,,,,,
,見事(な),,,,,,,,,,,
,傑作,,,,,,,,,,,
,立派(な),,,,,,,,,,,
,豪華(な),,,,,,,,,,,
,大した,,,,,,,,,,,
,妥当(な),,,,,,,,,,,
,手頃(な),,,,,,,,,,,
,まし(な),,,,,,,,,,,
,大して〜ない,,,,,,,,,,,
,粗末(な),,,,,,,,,,,
,意義,,,,,,,,,,,
,重要(な),,,,,,,,,,,
,重大(な),,,,,,,,,,,
,重視(する),,,,,,,,,,,
,第一,,,,,,,,,,,
,次ぐ,,,,,,,,,,,
,くだらない,,,,,,,,,,,
,みっともない,,,,,,,,,,,
,軽蔑(する),,,,,,,,,,,
,最悪(な),,,,,,,,,,,
,比べる,,,,,,,,,,,
,見方,,,,,,,,,,,
,見解,,,,,,,,,,,
,客観的(な),,,,,,,,,主観的(な),しゅかんてき(な),
,主観的(な),,,,,,,,,,,
,公平(な),,,,,,,,,,,
,不公平(な),,,,,,,,,,,
,特殊(な),,,,,,,,,,,
,ユニーク(な),,,,,,,,,,,
,特色,,,,,,,,,,,
,特長,,,,,,,,,,,
,オリジナル,,,,,,,,,,,
,本物,,,,,,,,,,,
,偽物,,,,,,,,,,,
,似る,,,,,,,,,,,
,独特(な),,,,,,,,,,,
,水準,,,,,,,,,,,
,標準,,,,,,,,,,,
,平凡(な),,,,,,,,,,,
,平等(な),,,,,,,,,,,
,高等(な),,,,,,,,,,,
,上等(な),,,,,,,,,,,
経済・ビジネス,ビジネス,,,,,,,,,,,
,商売(する),,,,,,,,,,,
,事業,,,,,,,,,,,
,大企業,,,,,,,,,,,
,中小企業,,,,,,,,,,,
,需要,,,,,,,,,,,
,供給,,,,,,,,,,,
,取引(する),,,,,,,,,,,
,利益,,,,,,,,,,,
,損失,,,,,,,,,,,
,売れ行き,,,,,,,,,,,
,景気,,,,,,,,,,,
,不景気,,,,,,,,,,,
,株式,,,,,,,,,,,
,株,,,,,,,,,,,
,円高,,,,,,,,,,,
,円安,,,,,,,,,,,
,通貨,,,,,,,,,,,
精神・宗教,思想,,,,,,,,,,,
,主義,,,,,,,,,,,
,民主主義,,,,,,,,,,,
,運,,,,,,,,,,,
,幸運(な),,,,,,,,,,,
,不運(な),,,,,,,,,,,
,神,,,,,,,,,,,
,仏,,,,,,,,,,,
,宗教,,,,,,,,,,,
,信仰(する),,,,,,,,,,,
,祈る,,,,,,,,,,,
,祈り,,,,,,,,,,,
,拝む,,,,,,,,,,,
気持ち・心の状態,愛(する),,,,,,,,,,,
,恋(する),,,,,,,,,,,
,恋しい,,,,,,,,,,,
,恋愛(する),,,,,,,,,,,
,意識(する),,,,,,,,,,,
,無意識に,,,,,,,,,,,
,思いがけない,,,,,,,,,,,
,感激(する),,,,,,,,,,,
,(お)めでたい,,,,,,,,,,,
,快適(な),,,,,,,,,,,
,愉快(な),,,,,,,,,,,
,くっろぐ,,,,,,,,,,,
,張り切る,,,,,,,,,,,
,さっぱり(する),,,,,,,,,,,
,しみじみ,,,,,,,,,,,
,ほっと(する),,,,,,,,,,,
,敬意,,,,,,,,,,,
,好奇心,,,,,,,,,,,
,気が重い,,,,,,,,,,,
,〜気がする,,,,,,,,,,,
,気が進まない,,,,,,,,,,,
,気が済む,,,,,,,,,,,
,気が散る,,,,,,,,,,,
,気が向く,,,,,,,,,,,
,気が楽,,,,,,,,,,,
,気に入る,,,,,,,,,,,
,お気に入り,,,,,,,,,,,
,気にかかる,,,,,,,,,,,
,気にする,,,,,,,,,,,
,気になる,,,,,,,,,,,
,気のせい,,,,,,,,,,,
,気の毒(な),きのどく(な),"Сочувственно, неудачно",,,,,,,,,
,気をつける,,,,,,,,,,,
,気分,,,,,,,,,,,
,気分がいい,,,,,,,,,,,
,気味,,,,,,,,,,,
,不気味(な),,,,,,,,,,,
,気配,,,,,,,,,,,
,本気,,,,,,,,,,,
,やる気,,,,,,,,,,,
,強気(な),,,,,,,,,,,
,弱気(な),,,,,,,,,,,
,覚悟(する),,,,,,,,,,,
,決心(する),,,,,,,,,,,
,心当たり,,,,,,,,,,,
,心掛ける,,,,,,,,,,,
,あきれる,,,,,,,,,,,
,嫌になる,,,,,,,,,,,
,うっとうしい,,,,,,,,,,,
,恨む,,,,,,,,,,,
,恨み,,,,,,,,,,,
,うらやむ,,,,,,,,,,,
,恐る,,,,,,,,,,,
,傷つく,,,,,,,,,,,
,恐縮(する),,,,,,,,,,,
,失望(する),,,,,,,,,,,
,がっかり(する),,,,,,,,,,,
,すまない,,,,,,,,,,,
,たまらない,,,,,,,,,,,
,ためらう,,,,,,,,,,,
,憎む,,,,,,,,,,,
,憎らしい,,,,,,,,,,,
,憎たらしい,,,,,,,,,,,
,ばかばかしい,,,,,馬鹿馬鹿しい,,,,,,
,不愉快(な),,,,,,,,,,,
,惨め(な),,,,,,,,,,,
,やばい,,,,,,,,,,,
性格・態度,態度,,,,,,,,,,,
,表情,,,,,,,,,,,
,無表情(な),,,,,,,,,,,
,卑怯(な),,,,,,,,,,,
,ずるい,,,,,,,,,,,
,欲張る,,,,,,,,,,,
,欲張り(な),,,,,,,,,,,
,厚かましい,,,,,,,,,,,
,図々しい,,,,,,,,,,,
,生意気(な),,,,,,,,,,,
,ぞんざい(な),,,,,,,,,,,
,威張る,,,,,,,,,,,
,馬鹿にする,,,,,,,,,,,
,尊重(する),,,,,,,,,,,
,プライド,,,,,,,,,,,
,謙虚(な),,,,,,,,,,,
,謙遜(する),,,,,,,,,,,
,そそっかしい,,,,,,,,,,,
,不器用(な),,,,,,,,,,,
,頑固(な),,,,,,,,,,,
,素直(な),,,,,,,,,,,
,率直(な),,,,,,,,,,,
,誠実(な),,,,,,,,,,,
,慎重(な),,,,,,,,,,,
,用心(する),,,,,,,,,,,
,用心深い,,,,,,,,,,,
,油断(する),,,,,,,,,,,
,大人しい,,,,,,,,,,,
,消極的(な),,,,,,,,,,,
,熱心(な),,,,,,,,,,,
,不親切(な),,,,,,,,,,,
,社交的(な),,,,,,,,,,,
,朗らか(な),,,,,,,,,,,
,陽気(な),,,,,,,,,,,
,生き生き(と),,,,,,,,,,,
,可愛らしい,,,,,,,,,,,
,幼稚(な),,,,,,,,,,,
,頼もしい,,,,,,,,,,,
,のんき(な),,,,,,,,,,,
,大ざっぱ(な),,,,,,,,,,,
,ルーズ(な),,,,,,,,,,,
,だらしない,,,,,,,,,,,
,気が強い,,,,,,,,,,,
,強気(な),,,,,,,,,,,
,気が弱い,,,,,,,,,,,
,気が短い,,,,,,,,,,,
,気が早い,,,,,,,,,,,
,気が小さい,,,,,,,,,,,
,気が利く,,,,,,,,,,,
思う・考えかる,思いつく,,,,,,,,,,,
,発想,,,,,,,,,,,
,空想(する),,,,,,,,,,,
,考え出す,,,,,,,,,,,
,考えつく,,,,,,,,,,,
,考え直す,,,,,,,,,,,
,考慮(する),,,,,,,,,,,
,勘違い(する),,,,,,,,,,,
,思いこむ,,,,,,,,,,,
,考え込む,,,,,,,,,,,
,予測(する),,,,,,,,,,,
,予想(する),,,,,,,,,,,
,推測(する),,,,,,,,,,,
,見当,,,,,,,,,,,
,納得(する),,,,,,,,,,,
,解く,,,,,,,,,,,
,意思,,,,,,,,,,,
方法・形式・スタイル,図表,,,,,,,,,,,
,図形,,,,,,,,,,,
,矢印,,,,,,,,,,,
,イラスト,,,,,,,,,,,
,欄,,,,,,,,,,,
,余白,,,,,,,,,,,
,注,,,,,,,,,,,
,履歴書,,,,,,,,,,,
,公式,,,,,,,,,,,
,前者,,,,,,,,,,,
,後者,,,,,,,,,,,
,省略(する),,,,,,,,,,,
,手段,,,,,,,,,,,
,足し算,,,,,,,,,,,
,引き算,,,,,,,,,,,
,掛け算,,,,,,,,,,,
,割り算,,,,,,,,,,,
,面積,,,,,,,,,,,
,容積,,,,,,,,,,,
,〜風,,,,,,,,,,,
,洋風,,,,,,,,,,,
,和風,,,,,,,,,,,
,洋室,,,,,,,,,,,
,和室,,,,,,,,,,,
動きの様子,のろい,,,,,,,,,,,
,のろのろ,,,,,,,,,,,
,さっと,,,,,,,,,,,
,すっと,,,,,,,,,,,
,そっと,,,,,,,,,,,
,こっそり,,,,,,,,,,,
,しんと/しーんと,,,,,,,,,,,
,せっせと,,,,,,,,,,,
,慌ただしい,,,,,,,,,,,
,ばったり(と),,,,,,,,,,,
,たちまち,,,,,,,,,,,
,直ちに,,,,,,,,,,,
,着々(と),,,,,,,,,,,
,次々(と),,,,,,,,,,,
,続々(と),,,,,,,,,,,
,勢い,,,,,,,,,,,
,勢いよく,,,,,,,,,,,
,しきりに,,,,,,,,,,,
,絶えず,,,,,,,,,,,
,ひとりでに,,,,,,,,,,,
,自動的(な),,,,,,,,,,,
,強引(な),,,,,,,,,,,
,力強い,,,,,,,,,,,
追伸,かけ直す,,,,,,,,,,,
,回す,,,,,,,,,,,
,内戦,,,,,,,,,,,
,外線,,,,,,,,,,,
,フリーダイヤル,,,,,,,,,,,
,速達,,,,,,,,,,,
,〜御中,,,,,,,,,,,
,電報,,,,,,,,,,,
,受け取る,,,,,,,,,,,
,受け取り,,,,,,,,,,,
パソコン・ネット,立ち上げる,,,,,,,,,,,
,立ち上がる,,,,,,,,,,,
,終了(する),,,,,,,,,,,
,バージョン,,,,,,,,,,,
,サーバー,,,,,,,,,,,
,ケーブル,,,,,,,,,,,
,件名,,,,,,,,,,,
,差出人,,,,,,,,,,,
,掲示板,,,,,,,,,,,
,ヒット(する),,,,,,,,,,,
,画像,,,,,,,,,,,
,コピー&ペスト(する),,,,,,,,,,,
,変換(する),,,,,,,,,,,
,改行(する),,,,,,,,,,,
,削除(する),,,,,,,,,,,
,圧縮(する),,,,,,,,,,,
,解凍(する),,,,,,,,,,,
,フォルダ,,,,,,,,,,,
物の形・状態,長方形,,,,,,,,,,,
,直角,,,,,,,,,,,
,直通,,,,,,,,,,,
,束,,,,,,,,,,,
,塊,,,,,,,,,,,
,粒,,,,,,,,,,,
,粉,,,,,,,,,,,
,個体,,,,,,,,,,,
,液体,,,,,,,,,,,
,気体,,,,,,,,,,,
,蒸気,,,,,,,,,,,
,水蒸気,,,,,,,,,,,
,湯気,,,,,,,,,,,
,びっしょり,,,,,,,,,,,
,つるつる,,,,,,,,,,,
,つや,,,,,,,,,,,
,湿る,,,,,,,,,,,
,さびる,,,,,,,,,,,
,さび,,,,,,,,,,,
,濁る,,,,,,,,,,,
,澄む,,,,,,,,,,,
,透明(な),,,,,,,,,,,
,空,,,,,,,,,,,
,空っぽ,,,,,,,,,,,
,広々,,,,,,,,,,,
,清潔(な),,,,,,,,,,,
,不潔(な),,,,,,,,,,,
,不安定(な),,,,,,,,,,,
問題・トラブル・事故,発生(する),,,,,,,,,,,
,停電(する),,,,,,,,,,,
,火災,,,,,,,,,,,
,洪水,,,,,,,,,,,
,震度,,,,,,,,,,,
,災害,,,,,,,,,,,
,防災,,,,,,,,,,,
,災難,,,,,,,,,,,
,被害,,,,,,,,,,,
,損害,,,,,,,ダメージ,,,,
,障害,,,,,,,,,,,
,欠陥,,,,,,,,,,,
,騒音,,,,,,,,,,,
,苦情,,,,,,,,,,,
,もめる,,,,,,,,,,,
,衝突(する),,,,,,,,,,,
,妨げる,,,,,,,,,,,
,妨げ,,,,,,,,,,,
,処分(する),,,,,,,,,,,
,危機,,,,,,,,,,,
,高齢化,,,,,,,,,,,
,少子化,,,,,,,,,,,
,地球温暖化,,,,,,,,,,,
,植える,,,,,,,,,,,
,未解決,,,,,,,,,,,
,対策(する),,,,,,,,,,,
,警告(する),,,,,,,,,,,
,避難(する),,,,,,,,,,,
,溺れる,,,,,,,,,,,
,行方不明,,,,,,,,,,,
,保護(する),,,,,,,,,,,
,救助(する),,,,,,,,,,,
,不正,,,,,,,,,,,
,詐欺,,,,,,,,,,,
,だます,,,,,,,,,,,
,進入(する),,,,,,,,,,,
,盗難,,,,,,,,,,,
,強盗,,,,,,,,,,,
,防犯,,,,,,,,,,,
言葉,単語,,,,,,,,,,,
,熟語,,,,,,,,,,,
,用語,,,,,,,,,,,
,語彙,,,,,,,,,,,
,アクセント,,,,,,,,,,,
,述語,,,,,,,,,,,
,文脈,,,,,,,,,,,
,論理,,,,,,,,,,,
,論理的(な),,,,,,,,,,,
,要旨,,,,,,,,,,,
,略す,,,,,,,,,,,
,英文,,,,,,,,,,,
,言語,,,,,,,,,,,
文学・音楽・芸術,作品,,,,,,,,,,,
,創作(する),,,,,,,,,,,
,エッセイ,,,,,,,,,,,
,伝記,,,,,,,,,,,
,笛,,,,,,,,,,,
,太鼓,,,,,,,,,,,
,芝居,,,,,,,,,,,
,悲劇,,,,,,,,,,,
,喜劇,,,,,,,,,,,
,演劇,,,,,,,,,,,
,演技(する),,,,,,,,,,,
,出演(する),,,,,,,,,,,
,美術,,,,,,,,,,,
,絵画,,,,,,,,,,,
,彫刻,,,,,,,,,,,
,芸術,,,,,,,,,,,
,芸能,,,,,,,,,,,
,観賞(する),,,,,,,,,,,
